id,sentence,source,source_type,category
410,"Aside from generating substantial wealth for emerging mercantile classes, the proliferation of goods such as paper and gunpowder greatly affected the trajectory of political history in several theatres in Eurasia and beyond.",Silk Road,wikipedia,history
411,"The Silk Road was utilized over a period that saw immense political variation across the continent, exemplified by major events such as the Black Death and the Mongol conquests.",Silk Road,wikipedia,history
412,"The network was highly decentralized, and security was sparse: travelers faced constant threats of banditry and nomadic raiders, and long expanses of inhospitable terrain.",Silk Road,wikipedia,history
413,"Few individuals traveled the entire length of the Silk Road, instead relying on a succession of middlemen based at various stopping points along the way.",Silk Road,wikipedia,history
414,"In addition to goods, the network facilitated an unprecedented exchange of religious , philosophical, and scientific thought, much of which was syncretised by societies along the way.",Silk Road,wikipedia,history
415,"Likewise, a wide variety of people used the routes.",Silk Road,wikipedia,history
416,"Diseases such as plague also spread along the Silk Road, possibly contributing to the Black Death.",Silk Road,wikipedia,history
417,"From 1453 onwards, the Ottoman Empire began competing with other gunpowder empires for greater control over the overland routes, which prompted European polities to seek alternatives while themselves gaining leverage over their trade partners.",Silk Road,wikipedia,history
418,"This marked the beginning of the Age of Discovery, European colonialism, and the further intensification of globalization.",Silk Road,wikipedia,history
419,"In the 21st century, the name ""New Silk Road"" is used to describe several large infrastructure projects along many of the historic trade routes; among the best known include the Eurasian Land Bridge and the Chinese Belt and Road Initiative .",Silk Road,wikipedia,history
420,"UNESCO designated the Chang'an-Tianshan corridor of the Silk Road as a World Heritage Site in 2014, and the Zarafshan-Karakum Corridor in 2023.",Silk Road,wikipedia,history
421,"The Fergana-Syrdarya Corridor, the Indian and Iranian portions, and the remaining sites in China remain on the tentative lists.",Silk Road,wikipedia,history
422,"Despite the popular imagination, Silk Road was never a singular east-west trade route that linked China to the Mediterranean, nor was there unrestricted trade before the Mongol Empire.",Silk Road,wikipedia,history
423,It was a network of routes.,Silk Road,wikipedia,history
424,"Even Marco Polo, often linked to the Silk Road, never used the term despite traveling during a time of Mongol-enabled ease of movement.",Silk Road,wikipedia,history
425,"Name and contested significance
The Silk Road derives its name from the lucrative trade in silk, first developed in China, and a major reason for the connection of trade routes into an extensive transcontinental network.",Silk Road,wikipedia,history
426,"It derives from the German term Seidenstraße and was first popularized in 1877 by Ferdinand von Richthofen, who made seven expeditions to China from 1868 to 1872.",Silk Road,wikipedia,history
427,"However, the term itself had been in use in decades prior to that.",Silk Road,wikipedia,history
428,"The alternative translation ""Silk Route"" is also used occasionally.",Silk Road,wikipedia,history
429,"Although the term was coined in the 19th century, it did not gain widespread acceptance in academia or popularity among the public until the 20th century.",Silk Road,wikipedia,history
430,The first book entitled The Silk Road was by Swedish geographer,Silk Road,wikipedia,history
431,The use of the term 'Silk Road' is not without its detractors.,Silk Road,wikipedia,history
432,"For instance, Warwick Ball contends that the maritime spice trade with India and Arabia was far more consequential for the economy of the Roman Empire than the silk trade with China, which at sea was conducted mostly through India and on land was handled by numerous intermediaries such as the Sogdians.",Silk Road,wikipedia,history
433,"Going as far as to call the whole thing a ""myth"" of modern academia, Ball argues that there was no coherent overland trade system and no free movement of goods from East Asia to the West until the period of the Mongol Empire.",Silk Road,wikipedia,history
434,"He notes that traditional authors discussing east–west trade such as Marco Polo and Edward Gibbon never labelled any route a ""silk"" one in particular.",Silk Road,wikipedia,history
435,"William Dalrymple points out that in pre-modern times, maritime travel cost only a fifth of overland transport, and argues for the pre-13th century primacy of an India-dominated ""Golden Road"" extending from Rome to Japan.",Silk Road,wikipedia,history
436,"The southern stretches of the Silk Road, from Khotan to Eastern China, were first used for jade and not silk, as long as 5000 BCE, and are still in use for this purpose.",Silk Road,wikipedia,history
437,"A black hole is an astronomical body so compact that its gravity prevents anything, including light, from escaping.",Black hole,wikipedia,astronomy
438,"Albert Einstein's theory of general relativity, which describes gravitation as the curvature of spacetime, predicts that any sufficiently compact mass will form a black hole.",Black hole,wikipedia,astronomy
439,The boundary of no escape is called the event horizon.,Black hole,wikipedia,astronomy
440,"In general relativity, crossing a black hole's event horizon traps an object inside but produces no locally detectable change.",Black hole,wikipedia,astronomy
441,"General relativity also predicts that every black hole should have a central singularity, where the curvature of spacetime is infinite.",Black hole,wikipedia,astronomy
442,Objects whose gravitational fields are too strong for light to escape were first considered in the 18th century.,Black hole,wikipedia,astronomy
443,"In 1916, the first solution of general relativity that would characterise a black hole was found.",Black hole,wikipedia,astronomy
444,"By the late 1950s, this solution began to be interpreted physically as a region of space from which nothing can escape.",Black hole,wikipedia,astronomy
445,Black holes were long considered a mathematical curiosity; it was not until the 1960s that theoretical work showed they were a generic prediction of general relativity.,Black hole,wikipedia,astronomy
446,"The first widely accepted black hole was Cygnus X-1, identified by several researchers independently in 1971.",Black hole,wikipedia,astronomy
447,Black holes typically form when very massive stars collapse at the end of their life cycle.,Black hole,wikipedia,astronomy
448,"After a black hole has formed, it can grow by absorbing mass from its surroundings.",Black hole,wikipedia,astronomy
449,"Supermassive black holes of millions of solar masses may form by absorbing stars and merging with other black holes, or via direct collapse of gas clouds.",Black hole,wikipedia,astronomy
450,There is consensus that supermassive black holes exist in the centres of most galaxies.,Black hole,wikipedia,astronomy
451,"Quantum field theory in curved spacetime predicts that event horizons emit Hawking radiation, with its rate of emission being inversely proportional to its mass.",Black hole,wikipedia,astronomy
452,"This causes the black hole to lose mass very slowly, provided it is not accreting matter.",Black hole,wikipedia,astronomy
453,"However, even the smallest class of black holes observed, stellar black holes, are gaining mass from the cosmic microwave background faster than they are losing mass via Hawking radiation.",Black hole,wikipedia,astronomy
454,The presence of a black hole can be inferred through its interaction with matter and electromagnetic radiation such as visible light.,Black hole,wikipedia,astronomy
455,"Matter falling toward a black hole can form an accretion disk of infalling plasma, heated by friction and emitting light.",Black hole,wikipedia,astronomy
456,"In extreme cases, this creates a quasar, some of the brightest objects in the universe.",Black hole,wikipedia,astronomy
457,Merging black holes can be detected by the gravitational waves they emit.,Black hole,wikipedia,astronomy
458,"If stars are orbiting a black hole, their motions can be used to determine the black hole's mass and location.",Black hole,wikipedia,astronomy
459,"In this way, astronomers have identified numerous stellar black hole candidates in binary systems and established that the radio source known as Sagittarius A*, at the core of the Milky Way galaxy, contains a supermassive black hole of about 4.3 million solar masses.",Black hole,wikipedia,astronomy
460,"History
The idea of a body so massive that even light could not escape was first proposed in the late 18th century by English astronomer and clergyman John Michell and independently by French scientist Pierre-Simon Laplace.",Black hole,wikipedia,astronomy
461,Both scholars proposed very large stars in contrast to the modern concept of an extremely dense object.,Black hole,wikipedia,astronomy
462,"Michell's idea, in a short part of a letter published in 1784, calculated that a star with the same density but 500 times the radius of the sun would not let any emitted light escape; the surface escape velocity would exceed the speed of light.",Black hole,wikipedia,astronomy
463,Michell correctly hypothesized that such non-radiating bodies might be detectable through their gravitational effects on nearby visible bodies.,Black hole,wikipedia,astronomy
464,"In 1796, while speculating on the origin of the Solar System in his book Exposition du Système du Monde, Laplace made a qualitative suggestion that a star could be invisible if it were sufficiently large.",Black hole,wikipedia,astronomy
465,"Franz Xaver von Zach asked Laplace for a mathematical analysis, which Laplace provided and published in von Zach's journal Allgemeine Geographische Ephemeriden.",Black hole,wikipedia,astronomy
466,"General relativity
In 1905, Albert Einstein showed that the laws of electromagnetism are identical for observers travelling at different velocities relative to each other.",Black hole,wikipedia,astronomy
467,The laws of mechanics had already been shown to be invariant in this way.,Black hole,wikipedia,astronomy
468,"However, the theory of gravitation was yet to be included.",Black hole,wikipedia,astronomy
469,"In 1907, Einstein published a paper proposing his equivalence principle, the hypothesis that inertial mass and gravitational mass have a common cause.",Black hole,wikipedia,astronomy
470,"Using the principle, Einstein predicted the redshift and the lensing effect of gravity on light; his prediction of gravitational lensing was one-half of the value that the full theory of general relativity would predict.",Black hole,wikipedia,astronomy
471,"By 1915, Einstein refined these ideas into his general theory of relativity, which explained how matter affects spacetime, which in turn affects the motion of other matter.",Black hole,wikipedia,astronomy
472,This formed the basis for black hole physics.,Black hole,wikipedia,astronomy
473,"Singular solutions in general relativity
Only a few months after Einstein published the field equations describing general relativity, astrophysicist Karl Schwarzschild set out to apply the idea to stars.",Black hole,wikipedia,astronomy
474,He assumed spherical symmetry with no spin and found a solution to Einstein's equations.,Black hole,wikipedia,astronomy
475,"A few months after Schwarzschild, Johannes Droste, a student of Hendrik Lorentz, independently gave the same solution.",Black hole,wikipedia,astronomy
476,"At a certain radius from the centre of the mass, the Schwarzschild solution became singular, meaning that some of the terms in the Einstein equations became infinite.",Black hole,wikipedia,astronomy
477,"Black holes are among the most mysterious cosmic objects, much studied but not fully understood.",https://science.nasa.gov/universe/black-holes/,web,astronomy
478,They’re huge concentrations of matter packed into very tiny spaces.,https://science.nasa.gov/universe/black-holes/,web,astronomy
479,"A black hole is so dense that gravity just beneath its surface, the event horizon, is strong enough that nothing – not even light – can escape.",https://science.nasa.gov/universe/black-holes/,web,astronomy
480,The event horizon isn’t a surface like Earth’s or even the Sun’s.,https://science.nasa.gov/universe/black-holes/,web,astronomy
481,It’s a boundary that contains all the matter that makes up the black hole.,https://science.nasa.gov/universe/black-holes/,web,astronomy
482,"There is much we don’t know about black holes, like what matter looks like inside their event horizons.",https://science.nasa.gov/universe/black-holes/,web,astronomy
483,"However, there is a lot that scientists do know about black holes.",https://science.nasa.gov/universe/black-holes/,web,astronomy
484,"Black holes don’t emit or reflect light, making them effectively invisible to telescopes.",https://science.nasa.gov/universe/black-holes/,web,astronomy
485,"Scientists primarily detect and study them based on how they affect their surroundings:
The nearest known black hole, called Gaia BH1, is about 1,500 light-years away.",https://science.nasa.gov/universe/black-holes/,web,astronomy
486,"The most distant black hole detected, at the center of a galaxy called QSO J0313-1806, is around 13 billion light-years away.",https://science.nasa.gov/universe/black-holes/,web,astronomy
487,"The most massive black hole observed, TON 618, tips the scales at 66 billion times the Sun’s mass.",https://science.nasa.gov/universe/black-holes/,web,astronomy
488,The lightest-known black hole is only 3.8 times the Sun’s mass.,https://science.nasa.gov/universe/black-holes/,web,astronomy
489,It’s paired up with a star.,https://science.nasa.gov/universe/black-holes/,web,astronomy
490,A real term that describes what happens when matter gets too close to a black hole.,https://science.nasa.gov/universe/black-holes/,web,astronomy
491,"It’s squeezed horizontally and stretched vertically, resembling a noodle.",https://science.nasa.gov/universe/black-holes/,web,astronomy
492,"The fastest-known – named GRS 1915+105 – clocks in at over 1,000 rotations per second.",https://science.nasa.gov/universe/black-holes/,web,astronomy
493,Monster black holes at the centers of galaxies can launch particles to near light speed.,https://science.nasa.gov/universe/black-holes/,web,astronomy
494,"If you replaced the Sun with a black hole of the same mass, the solar system would get a lot colder, but the planets would stay in their orbits.",https://science.nasa.gov/universe/black-holes/,web,astronomy
495,One type of black hole is born when massive stars run out of fuel and explode in supernovae.,https://science.nasa.gov/universe/black-holes/,web,astronomy
496,Most Milky Way-sized galaxies have monster black holes at their centers.,https://science.nasa.gov/universe/black-holes/,web,astronomy
497,"Our is called Sagittarius A* , and it’s 4 million times the Sun’s mass.",https://science.nasa.gov/universe/black-holes/,web,astronomy
498,"NASA Connects Little Red Dots with Chandra, Webb
Archival Data From NASA’s NEOWISE",https://science.nasa.gov/universe/black-holes/,web,astronomy
499,"Tracks Star Turning Into Black Hole
NASA, Partners Advance LISA Prototype Hardware
NASA’s Webb Delivers Unprecedented Look Into Heart of Circinus Galaxy
NASA’s Chandra Finds Small Galaxies May Buck the Black Hole Trend
Universe
Galaxies
Stars
Exoplanets",https://science.nasa.gov/universe/black-holes/,web,astronomy
